昵称,学历,城市,经验,薪资,备注
Map,本,北京,26应届,实习,
yanni*,本,杭州,"6年前端
2年转行","前端：20k
转行：28k",新能源企业前端-->产品-->销售-->售前
边牧*,本,长沙,5年,9k,离职，空窗期2年，北京17k，React，Flutter
决堤*,本科,北京,25应届,9k,被辞退
月亮*,专,济南,3年,9k,
C*,专,北京,3年,9k,自考本
悠*,专,成都,3年,9k,
斯达*,本,武汉,2.5年,9k,
子*,本,深圳,0.5年,9k,
升职*,本,郑州,4.5年,9.5k,
青青*,本,重庆,4年,8k,
朝*,专,成都,25应届,8k,专升本
unde*,专,绵阳,10年,8k,3-4年UI，自学转前端
小*,专,汕头,4.5年,8k,33岁
风*,专,湖南/株洲,2年,8k,
zzn*,本,北京,25应届,8k,
晚风*,高中,成都,2年,8k,
上*,本科,广州,1年,8k,
可可*,专,唐山,5年,8k,成人本
喻*,本,武汉,1年,8k,
F.,专,深圳,1.5年,7k,
它的*,本,南昌,2年,7k,
汪*,本,昆明,1.5年,7k,
楠*,专,广州,1.5年,7k,专升本
Re*,专,广州,25应届,6k,
实事*,本,连云港,3年,6k,离职，学员
J*,专,郑州,2.5年,6k,在职
Re*,专,杭州,0.5年,6k,被裁
you*,专,芜湖,2年,6k,
LII*,专,温州,0.5年,6.5k,
报之*,本,成都,1年,5k,
橘子,本,广东/惠州,1.5年,5k,
我是*,本,台州,4个月,5k,公司快完蛋了
朽木*,本,深圳,9年,52k,
AAC*,专,嘉兴,2年,5.5k,专升本
Ball*,本,北京,7年,41k,
小江*,专,成都,3年,4.8k,
null*,本,成都,9.5年,36k,
ewr,本,上海,6年,35k,上一份web3 35k
YOU*,本,深圳,4年,35k,
fc*,专,北京,11年,35k,专升本
果果*,本,北京,9年,35k,
balan*,本,上海,5年,32k,
小周*,本,上海,4年,32k,
一只*,本,北京 ,3年,31k,百度
萧*,小学,远程,6年,30K+提成,初二退学
亭*,本,上海,13年,30k+,学员
123,硕,北京,1年,30k,
超级*,本,杭州,3.5年,30k,
Dam*,本,上海,10年,30k,小公司 1人前端 跨境电商 内部系统
小鹿*,本,成都,5年,30k,
thump,本,26应届,上海,16k,AI Video
大琪,专,北京,3年,28k,自考本，前端3年(10k)，1年鸿蒙
狂炫*,硕,深圳,1.5年,28k,
智哥*,高中,上海,8年,27k,
横*,高中,北京,12年,26k*14,自考本
那片*,本,杭州,6年,26k,
北*,本,北京,3年,26k,
小神*,硕,长沙,5年,25k,
流*,本,深圳,8年,25k,华为OD3年
清新*,本,上海,7年,25k,4年+前端，学员，基建组
Bis*,本,深圳,5年,25k,回老家南昌
回眸*,本211,深圳,4年,25k,
少*,高中,上海,8年,25k,
毕加*,本,北京,5年,25k,
