昵称,学历,城市,经验(年),薪资(k),毕业年份,备注
Map,本科,北京,0.0,,2026,
yanni*,本科,杭州,8.0,28.0,,新能源企业前端-->产品-->销售-->售前
边牧*,本科,长沙,5.0,9.0,,离职，空窗期2年，北京17k，React，Flutter
决堤*,本科,北京,0.0,9.0,2025,被辞退
月亮*,大专,济南,3.0,9.0,,
C*,大专,北京,3.0,9.0,,自考本
悠*,大专,成都,3.0,9.0,,
斯达*,本科,武汉,2.5,9.0,,
子*,本科,深圳,0.5,9.0,,
升职*,本科,郑州,4.5,9.5,,
青青*,本科,重庆,4.0,8.0,,
朝*,大专,成都,0.0,8.0,2025,专升本
unde*,大专,绵阳,10.0,8.0,,3-4年UI，自学转前端
小*,大专,汕头,4.5,8.0,,33岁
风*,大专,株洲,2.0,8.0,,
zzn*,本科,北京,0.0,8.0,2025,
晚风*,高中,成都,2.0,8.0,,
上*,本科,广州,1.0,8.0,,
可可*,大专,唐山,5.0,8.0,,成人本
喻*,本科,武汉,1.0,8.0,,
F.,大专,深圳,1.5,7.0,,
它的*,本科,南昌,2.0,7.0,,
汪*,本科,昆明,1.5,7.0,,
楠*,大专,广州,1.5,7.0,,专升本
Re*,大专,广州,0.0,6.0,2025,
实事*,本科,连云港,3.0,6.0,,离职，学员
J*,大专,郑州,2.5,6.0,,在职
Re*,大专,杭州,0.5,6.0,,被裁
you*,大专,芜湖,2.0,6.0,,
LII*,大专,温州,0.5,6.5,,
报之*,本科,成都,1.0,5.0,,
橘子,本科,惠州,1.5,5.0,,
我是*,本科,台州,0.3,5.0,,公司快完蛋了
朽木*,本科,深圳,9.0,52.0,,
AAC*,大专,嘉兴,2.0,5.5,,专升本
Ball*,本科,北京,7.0,41.0,,
小江*,大专,成都,3.0,4.8,,
null*,本科,成都,9.5,36.0,,
ewr,本科,上海,6.0,35.0,,上一份web3 35k
YOU*,本科,深圳,4.0,35.0,,
fc*,大专,北京,11.0,35.0,,专升本
果果*,本科,北京,9.0,35.0,,
balan*,本科,上海,5.0,32.0,,
小周*,本科,上海,4.0,32.0,,
一只*,本科,北京,3.0,31.0,,百度
萧*,小学,远程,6.0,30.0,,初二退学
亭*,本科,上海,13.0,30.0,,学员
123,硕士,北京,1.0,30.0,,
超级*,本科,杭州,3.5,30.0,,
Dam*,本科,上海,10.0,30.0,,小公司 1人前端 跨境电商 内部系统
小鹿*,本科,成都,5.0,30.0,,
thump,本科,,,16.0,2026,AI Video
大琪,大专,北京,3.0,28.0,,自考本，前端3年(10k)，1年鸿蒙
狂炫*,硕士,深圳,1.5,28.0,,
智哥*,高中,上海,8.0,27.0,,
横*,高中,北京,12.0,26.0,,自考本
那片*,本科,杭州,6.0,26.0,,
北*,本科,北京,3.0,26.0,,
小神*,硕士,长沙,5.0,25.0,,
流*,本科,深圳,8.0,25.0,,华为OD3年
清新*,本科,上海,7.0,25.0,,4年+前端，学员，基建组
Bis*,本科,深圳,5.0,25.0,,回老家南昌
回眸*,本科,深圳,4.0,25.0,,
少*,高中,上海,8.0,25.0,,
毕加*,本科,北京,5.0,25.0,,
空*,本科,深圳,3.0,25.0,,
alle*,本科,上海,7.0,24.0,,
小权*,本科,北京,1.5,24.0,,
oYi*,高中,长沙,14.0,23.0,,
噔噔*,本科,成都,4.0,23.0,,
平安*,初中,北京,4.5,23.0,,"成人大专，成人本科，26岁，中厂
前端组长，美图"
未来*,本科,上海,5.0,23.0,,
小*,本科,上海,7.0,23.0,,
空*,本科,深圳,3.5,23.0,,被裁
我是*,本科,武汉,4.0,22.0,,阿里外包，离职
付*,本科,北京,6.0,22.0,,
小麻*,高中,北京,8.0,22.0,,
风雅*,本科,广州,5.0,22.0,,
Jie*,本科,成都,5.5,21.0,,
一起*,大专,北京,3.0,20.0,,刚离职，接私活，阳泉找到事业编
爱吃*,本科,上海,4.0,20.0,,物联网，web前端负责人
web*,大专,上海,10.0,20.0,,自考本
曾*,本科,重庆,5.0,20.0,,
code*,本科,北京,3.0,20.0,,
you*,,天津,5.0,20.0,,运维
日*,本科,北京,0.5,20.0,,
躲*,本科,北京,7.0,20.0,,
Viv*,硕士,南京,1.5,19.0,,
文殊*,本科,无锡,0.5,19.0,,中厂，试用期没过
哇咔*,硕士,上海,0.0,18.0,2026,
Zer*,本科,成都,3.0,23.3,,学员
兹*,本科,深圳,6.0,21.0,,中厂外包
秋葵*,硕士,杭州,3.0,17.0,,
我很*,本科,马来西亚,6.0,17.0,,马来西亚
相*,本科,北京,3.5,17.0,,
小昂*,本科,北京,7.0,17.0,,回大连，空窗10个月
win*,大专,深圳,4.0,17.0,,
小*,大专,北京,4.0,17.0,,专升本
vout*,大专,上海,3.0,12.0,,外包，离职，自考本
Ele*,本科,合肥,5.0,16.0,,刚入职
无敌,本科,上海,4.0,16.0,,1个人
未来*,本科,上海,5.0,16.0,,
无敌*,本科,上海,3.0,16.0,,
半只*,本科,武汉,4.0,16.0,,
嗯嗯*,大专,上海,4.0,16.0,,
|*,本科,北京,5.0,16.0,,
man*,大专,北京,2.5,16.0,,
老*,大专,杭州,15.0,15.0,,没换过工作
emm*,本科,北京,4.0,15.0,,
^W,大专,成都,5.0,15.0,,自考本
年轮*,本科,北京,6.0,15.0,,
宝贝*,本科,重庆,4.0,15.0,,外包
?*,高中,北京,1.5,15.0,,
绿色*,本科,深圳,4.0,15.0,,
无趣*,本科,北京,0.0,15.0,2025,
海拉鲁*,本科,广州,5.0,15.0,,
吴*,硕士,北京,2.5,15.0,,离职
没事*,本科,上海,3.0,15.0,,
怎*,本科,杭州,5.0,15.0,,外包
快乐*,大专,北京,6.0,15.0,,
Conc*,本科,杭州,3.0,15.0,,
Ben*,本科,北京,2.5,14.0,,
YX,本科,北京,3.0,14.0,,
zz*,大专,北京,2.5,14.0,,
FL*,大专,杭州,2.0,14.0,,专升本
ben*,本科,北京,2.5,14.0,,
be*,大专,成都,6.0,14.0,,自考本
梧桐*,本科,武汉,2.5,14.0,,
炉火*,大专,杭州,3.0,14.0,,专升本
山野*,本科,上海,0.5,14.0,,
Alan*,本科,杭州,3.0,14.0,,
王进,中专,北京,1.5,14.5,,
木子*,本科,济南,6.0,14.5,,
天黑,大专,北京,3.0,13.0,,专升本
天佑,大专,上海,1.0,13.0,,成人本，学员
呜啦*,本科,成都,5.0,13.0,,
抽象*,本科,深圳,0.5,13.0,,
半盏*,本科,武汉,3.0,13.0,,
hj,大专,广州,3.0,13.0,,
war*,本科,深圳,0.5,13.0,,
Tlll*,本科,重庆,3.5,13.0,,
霜*,本科,北京,2.5,12.0,,
乘除*,本科,广州,3.0,12.0,,
平安*,大专,武汉,5.0,12.0,,学员
童年*,本科,北京,0.0,12.0,2025,
那个*,本科,福州,1.5,12.0,,外包
猎人*,大专,青岛,5.0,12.0,,外包
7*,大专,南京,3.5,12.0,,学员
初*,大专,武汉,3.0,12.0,,
榴莲*,大专,深圳,3.5,12.0,,
搓澡*,本科,济南,3.5,12.0,,
丙*,大专,广州,4.0,12.0,,
小雨*,大专,北京,1.0,12.0,,
清*,本科,重庆,2.0,12.0,,
新之*,本科,深圳,3.0,12.0,,
很勇*,本科,郑州,1.5,12.0,,
一只*,本科,深圳,0.5,11.0,,外包
元*,大专,南京,4.0,11.0,,自考本
咪*,本科,宁波,5.0,11.0,,
实事*,大专,湖州,3.0,11.0,,自考本
pop*,本科,北京,1.0,11.0,,
？？,大专,郑州,3.5,10.0,,
snows*,本科,杭州,1.0,10.0,,
Fr*,本科,苏州,1.5,10.0,,
拍*,大专,温州,2.5,10.0,,专升本
肥嘟*,大专,东莞,1.5,10.0,,专升本
罗非*,大专,宁波,3.0,10.0,,专升本
咸*,本科,台州,5.0,10.0,,
段*,大专,上海,3.0,10.0,,
辞海*,本科,武汉,3.5,10.5,,
小鹿*,硕士,,,,,"SSP1 得物 34k * 16 杭州  部门随便选
SSP2 深圳 ??  38K*15  传统行业  AI"
莱茵*,硕士,,,,2026,
逆*,本科,,,18.0,,26应届 腾讯实习 打游戏被劝退
CSS*,本科,,0.0,,2026,选offer
Kev*,本科,,0.0,,2026,选offer
jie,本科,深圳,0.0,,2027,字节实习
烟梦*,本科,,0.0,,2026,
ha*,硕士,,0.0,,2027,gis
,,,,,,
思念*,本科,北京,0.0,,2026,大厂实习
Fr*,初中,杭州,0.0,,,成人大专，20岁，线下机构培训
